Дата;сбор;грязь;насечка
01.01.2019;575700;11160;5230
02.01.2019;570800;9720;7090
03.01.2019;572700;9000;6630
04.01.2019;564700;9360;6660
05.01.2019;559700;11160;7050
06.01.2019;562640;9720;7620
07.01.2019;561440;11880;7070
08.01.2019;563300;14040;5620
09.01.2019;561300;14400;6040
10.01.2019;568000;11520;7220
11.01.2019;564500;14760;6620
12.01.2019;566500;16920;5120
13.01.2019;570380;16560;6800
14.01.2019;577700;13320;5230
15.01.2019;575230;15840;5740
16.01.2019;597900;15120;7150
17.01.2019;577100;12600;5410
18.01.2019;582800;13320;5800
19.01.2019;586900;13680;5810
20.01.2019;577600;14400;8110
21.01.2019;606200;10800;5600
22.01.2019;585500;10440;5040
23.01.2019;585500;12600;7100
24.01.2019;569000;11880;4130
25.01.2019;588700;11880;4310
26.01.2019;566900;13680;5440
27.01.2019;588800;12960;4400
28.01.2019;574500;11160;4690
29.01.2019;580000;12960;3400
30.01.2019;589100;12600;5960
31.01.2019;593140;11160;6360
01.02.2019;586300;11880;4620
02.02.2019;592100;12960;4040
03.02.2019;604400;15120;4560
04.02.2019;600900;13320;4410
05.02.2019;593800;13320;5950
06.02.2019;597400;15120;5510
07.02.2019;583500;14400;4800
08.02.2019;591900;11160;5900
09.02.2019;585900;16560;4710
10.02.2019;596000;14400;4380
11.02.2019;596000;11880;4100
12.02.2019;584800;11880;5410
13.02.2019;585500;13320;5740
14.02.2019;586900;12240;3870
15.02.2019;581300;12600;5990
16.02.2019;577600;12240;4120
17.02.2019;583800;12240;4480
18.02.2019;592200;10440;5860
19.02.2019;587500;10800;5800
20.02.2019;581200;9000;5510
21.02.2019;579800;12240;5520
22.02.2019;580390;10440;5250
23.02.2019;580300;12240;5690
24.02.2019;583400;11520;4000
25.02.2019;586000;10800;6370
26.02.2019;581000;12240;4830
27.02.2019;578600;11160;5330
28.02.2019;583130;11160;5370
01.03.2019;587600;10800;6260
02.03.2019;589300;14040;5380
03.03.2019;581840;15480;5630
04.03.2019;586640;10800;6160
05.03.2019;601700;11520;4700
06.03.2019;594500;11880;5680
07.03.2019;590650;9000;4510
08.03.2019;594200;13320;5290
09.03.2019;592720;11160;4900
10.03.2019;597700;13320;6050
11.03.2019;601400;12600;5200
12.03.2019;602300;14400;5560
13.03.2019;604800;14760;5600
14.03.2019;606700;10800;5590
15.03.2019;602400;12960;6220
16.03.2019;590240;11880;5080
17.03.2019;592700;14040;5720
